TESTCASE ID,Tên testcase(Mục đích),Các bước thực hiện ,Kết quả mong muốn,Độ ưu tiên,Kết quả thực tế ,Trạng thái,Ghi chú,Dev
TC-AD07-18,Kiểm tra responsive UI,1. Mở Inbox trên mobile/tablet/desktop,UI hiển thị đúng trên các thiết bị,Low,,,,
TC-AD07-19,User thường truy cập Inbox Admin,"1. Đăng nhập User thường
2. Truy cập admin.php Inbox",Không được phép truy cập,High,,,,
TC-AD07-20,Click gửi nhiều lần liên tục,1. Nhấn liên tục nút “Gửi”,Không tạo phản hồi trùng lặp,Medium,,,,
UC 08 Xử lý khiếu nại,,,,,,,,
TC-AD08-01,Hiển thị số lượng khiếu nại chưa giải quyết,"1. Đăng nhập Admin
2. Mở Dashboard",Thẻ “Khiếu nại” hiển thị đúng số lượng chưa xử lý,High,,,,
TC-AD08-02,Xem danh sách khiếu nại,1. Nhấn vào thẻ “Khiếu nại”,Danh sách khiếu nại hiển thị đầy đủ,High,,,,
TC-AD08-03,Xem chi tiết khiếu nại,1. Chọn một khiếu nại bất kỳ,Hiển thị đầy đủ nội dung khiếu nại,High,,,,
TC-AD08-04,Xem lịch sử đơn liên quan,"1. Mở chi tiết khiếu nại
2. Nhấn xem lịch sử đơn",Hiển thị đúng lịch sử đơn hàng liên quan,High,,,,
TC-AD08-05,Xem lịch sử chat,"1. Mở chi tiết khiếu nại
2. Nhấn xem chat",Hiển thị đúng nội dung trao đổi,High,,,,
TC-AD08-06,Hoàn tiền cho khách hàng,"1. Chọn quyết định “Hoàn tiền”
2. Xác nhận xử lý",Hệ thống hoàn tiền thành công,High,,,,
TC-AD08-07,Cảnh cáo Tasker,"1. Chọn “Cảnh cáo Tasker”
2. Xác nhận",Tasker nhận trạng thái cảnh cáo,High,,,,
TC-AD08-08,Đánh dấu khiếu nại đã giải quyết,"1. Hoàn tất xử lý khiếu nại
2. Nhấn “Đánh dấu đã giải quyết”",Khiếu nại chuyển trạng thái “Đã giải quyết”,High,,,,
TC-AD08-09,Số lượng khiếu nại giảm sau xử lý,"1. Giải quyết xong khiếu nại
2. Quay về Dashboard",Tổng số khiếu nại chưa xử lý giảm đúng,High,,,,
TC-AD08-10,Liên hệ hai bên để bổ sung thông tin,1. Chọn “Yêu cầu thêm thông tin”,Hệ thống gửi yêu cầu bổ sung tới hai bên,Medium,,,,
TC-AD08-11,Không có khiếu nại trong hệ thống,"1. Không có dữ liệu khiếu nại
2. Mở Dashboard",Hiển thị trạng thái không có khiếu nại,Medium,,,,
TC-AD08-12,Giải quyết khiếu nại đã đóng,"1. Mở khiếu nại đã giải quyết
2. Thực hiện xử lý tiếp",Hệ thống không cho phép xử lý lại,Medium,,,,
TC-AD08-13,Hoàn tiền vượt giá trị đơn,1. Nhập số tiền vượt tổng giá trị đơn,Hệ thống hiển thị lỗi validation,High,,,,
TC-AD08-14,Hai Admin cùng xử lý một khiếu nại,"1. Admin A và B mở cùng khiếu nại
2. Cùng thao tác xử lý",Chỉ một thao tác thành công,High,,,,
TC-AD08-15,Mất kết nối khi xử lý,"1. Đang xử lý khiếu nại
2. Tắt mạng",Hệ thống rollback hoặc báo lỗi phù hợp,High,,,,
TC-AD08-16,Session hết hạn khi xử lý,"1. Đăng nhập Admin
2. Chờ timeout
3. Xử lý khiếu nại",Hệ thống yêu cầu đăng nhập lại,High,,,,
TC-AD08-17,Nội dung khiếu nại chứa script XSS,1. Tạo khiếu nại chứa script HTML,Hệ thống sanitize dữ liệu,High,,,,
TC-AD08-18,Dữ liệu khiếu nại quá dài,1. Tạo nội dung khiếu nại > giới hạn ký tự,Hệ thống xử lý đúng hoặc validation phù hợp,Medium,,,,
TC-AD08-19,Tải danh sách khiếu nại lớn,"1. Seed >5000 khiếu nại
2. Mở danh sách",Hệ thống tải ổn định,Medium,,,,
TC-AD08-20,Kiểm tra responsive UI,1. Mở màn hình khiếu nại trên nhiều thiết bị,UI hiển thị đúng,Low,,,,
UC 09 Theo dõi doanh thu & phí hoa hồng,,,,,,,,
TC-AD09-01,Hiển thị doanh thu hôm nay,"1. Đăng nhập Admin
2. Mở Dashboard",Thẻ doanh thu hiển thị đúng tổng doanh thu hôm nay,High,,,,
TC-AD09-02,Hiển thị đúng phí hoa hồng 15%,"1. Kiểm tra tổng doanh thu
2. Đối chiếu phí nền tảng",Phí nền tảng được tính đúng 15%,High,,,,
TC-AD09-03,Hiển thị đúng số đơn hôm nay,"1. Mở Dashboard
2. Kiểm tra thẻ “Đơn hôm nay”",Hiển thị đúng tổng số đơn,High,,,,
TC-AD09-04,Hiển thị chênh lệch so với hôm qua,1. Kiểm tra chỉ số tăng/giảm,Giá trị tăng giảm hiển thị chính xác,High,,,,
TC-AD09-05,Xem xu hướng doanh thu,"1. Mở Dashboard
2. Quan sát biểu đồ/thống kê",Hiển thị đúng xu hướng doanh thu,Medium,,,,
TC-AD09-06,Doanh thu cập nhật realtime,"1. Phát sinh đơn hoàn thành mới
2. Refresh Dashboard",Doanh thu được cập nhật chính xác,Medium,,,,
TC-AD09-07,Không có doanh thu trong ngày,"1. Không có giao dịch hoàn tất
2. Mở Dashboard",Hiển thị doanh thu = 0,Medium,,,,
TC-AD09-08,Doanh thu giảm đột ngột,1. Giảm mạnh số đơn trong DB,Hệ thống hiển thị đúng dữ liệu giảm,High,,,,
TC-AD09-09,Dữ liệu doanh thu âm,1. Insert dữ liệu âm bất thường,Hệ thống không cho phép hoặc cảnh báo lỗi,High,,,,
TC-AD09-10,Sai lệch phí hoa hồng,1. Thay đổi dữ liệu commission trong DB,Hệ thống hiển thị cảnh báo sai lệch,High,,,,
TC-AD09-11,Tải dữ liệu doanh thu lớn,1. Seed dữ liệu doanh thu nhiều năm,Dashboard vẫn tải ổn định,Medium,,,,
TC-AD09-12,Hai Admin xem cùng lúc,1. Hai Admin mở Dashboard đồng thời,Dữ liệu hiển thị đồng nhất,Medium,,,,
TC-AD09-13,Session hết hạn,"1. Đăng nhập Admin
2. Chờ timeout
3. Refresh Dashboard",Hệ thống yêu cầu đăng nhập lại,High,,,,
TC-AD09-14,User thường truy cập Dashboard doanh thu,"1. Đăng nhập User thường
2. Truy cập admin.php",Không được phép truy cập,High,,,,
TC-AD09-15,Kiểm tra responsive UI,1. Mở Dashboard trên mobile/tablet/desktop,UI hiển thị đúng,Low,,,,
TC-AD09-16,Mất kết nối khi tải Dashboard,1. Tắt mạng khi load Dashboard,Hệ thống hiển thị thông báo lỗi phù hợp,Medium,,,,
TC-AD09-17,So sánh doanh thu ngày hiện tại và hôm qua,"1. Seed dữ liệu 2 ngày liên tiếp
2. Mở Dashboard",Chênh lệch doanh thu hiển thị chính xác,High,,,,
TC-AD09-18,Kiểm tra format tiền tệ,1. Mở Dashboard,Giá trị tiền hiển thị đúng định dạng VNĐ,Medium,,,,
TC-AD09-19,Kiểm tra refresh liên tục,1. Refresh Dashboard nhiều lần liên tiếp,Không gây crash hoặc duplicate request,Low,,,,
TC-AD09-20,Kiểm tra biểu đồ khi không có dữ liệu,"1. Xóa dữ liệu doanh thu
2. Mở Dashboard",Biểu đồ hiển thị trạng thái rỗng hợp lệ,Low,,,,
