TESTCASE ID,Tên testcase(Mục đích),Các bước thực hiện ,Kết quả mong muốn,Độ ưu tiên,Kết quả thực tế ,Trạng thái,Ghi chú,Dev,Unnamed: 9
TC_T05_039,Kiểm tra logout khi đang có đơn mới,"1. Có đơn mới 
 2. Logout",Không còn nhận đơn sau logout,Medium,,,,,
TC_T05_040,Kiểm tra quyền truy cập màn hình đơn mới,1. Truy cập M16 khi chưa login,Hệ thống yêu cầu đăng nhập,High,,,,,
UC_06 Nhận đơn,,,,,,,,,
TC-T06-001,Nhận đơn thành công,"1. Mở danh sách đơn mới 
2. Nhấn “Nhận đơn”",Đơn chuyển sang mục “Đang thực hiện”,High,,,,,
TC-T06-002,Hiển thị thông báo nhận đơn thành công,1. Nhấn “Nhận đơn”,Hiển thị message xác nhận thành công,Medium,,,,,
TC-T06-003,Đơn xuất hiện trong mục “Đang thực hiện”,1. Mở mục Đang thực hiện,Đơn hiển thị đúng thông tin,High,,,,,
TC-T06-004,Khách hàng nhận notification khi Tasker nhận đơn,1. Tasker nhận đơn,Customer nhận thông báo “Tasker đã nhận đơn”,High,,,,,
TC-T06-005,Tasker khác nhận trước,"1. Tasker A nhận đơn trước 
2. Tasker B nhấn “Nhận đơn”",Hiển thị “Đơn đã được nhận”,High,,,,,
TC-T06-006,Double click nút “Nhận đơn”,1. Double click nút nhận đơn,Không tạo duplicate request,Medium,,,,,
TC-T06-007,Spam click nút “Nhận đơn” liên tục,1. Click liên tục nhiều lần,Chỉ nhận đơn 1 lần,Medium,,,,,
TC-T06-008,Mất mạng khi nhận đơn,"1. Tắt mạng 
2. Nhấn “Nhận đơn”",Hiển thị lỗi kết nối,Medium,,,,,
TC-T06-009,Server timeout khi nhận đơn,1. Nhấn “Nhận đơn” khi server chậm,Hiển thị loading/error phù hợp,Medium,,,,,
TC-T06-010,Tasker Offline nhưng cố nhận đơn,1. Nhấn “Nhận đơn”,Không cho phép nhận đơn,High,,,,,
TC-T06-011,Đơn hết hạn trước khi nhận,"1. Chờ đơn hết hạn 
2. Nhấn “Nhận đơn”",Hiển thị đơn không còn khả dụng,Medium,,,,,
TC-T06-012,Refresh app sau khi nhận đơn,1. Reload app,Đơn vẫn nằm trong “Đang thực hiện”,Medium,,,,,
TC-T06-013,App crash sau khi nhận đơn,"1. Force close app 
2. Mở lại app",Đơn vẫn được lưu đúng trạng thái,Medium,,,,,
TC-T06-014,Nhận nhiều đơn cùng lúc,1. Nhận liên tiếp nhiều đơn,Các đơn hiển thị đúng,Medium,,,,,
TC-T06-015,Không cho nhận thêm đơn nếu vượt giới hạn,"1. Đã đạt limit
2. Nhận thêm đơn",Hiển thị lỗi business rule,Medium,,,,,
TC-T06-016,Hiển thị đúng thông tin đơn sau khi nhận,1. Kiểm tra chi tiết đơn,"Hiển thị đúng dịch vụ, khách hàng, địa chỉ",High,,,,,
TC-T06-017,Đồng bộ trạng thái đơn realtime,"1. Nhận đơn trên device A
2. Kiểm tra device B",Trạng thái sync realtime,Medium,,,,,
TC-T06-018,Push notification biến mất sau khi nhận đơn,1. Nhận đơn,Notification được cập nhật/xóa đúng,Low,,,,,
TC-T06-019,App background khi nhận đơn,1. Nhận đơn từ notification background,Điều hướng đúng vào đơn đang thực hiện,Medium,,,,,
TC-T06-020,Session hết hạn khi nhận đơn,1. Nhấn “Nhận đơn”,Redirect login hoặc báo session expired,Medium,,,,,
TC-T06-021,Hiển thị loading khi đang nhận đơn,1. Nhấn “Nhận đơn”,Hiển thị trạng thái loading,Low,,,,,
TC-T06-022,Không duplicate đơn trong mục Đang thực hiện,1. Reload nhiều lần,Chỉ hiển thị 1 bản ghi đơn,Medium,,,,,
TC-T06-023,GPS/location bị tắt khi nhận đơn,"1. Tắt GPS
2. Nhận đơn",Hiển thị yêu cầu bật location,Medium,,,,,
TC-T06-024,Nhận đơn đúng với dịch vụ đã đăng ký,1. Nhận đơn Dọn nhà,Cho phép nhận đơn hợp lệ,High,,,,,
TC-T06-025,Không cho nhận đơn sai dịch vụ,1. Nhấn nhận đơn Trông trẻ,Không cho phép nhận,High,,,,,
UC_07 Bỏ qua đơn ,,,,,,,,,
TC-T07-001,Bỏ qua đơn thành công,"1. Mở danh sách đơn mới 
2. Nhấn “Bỏ qua”",Đơn biến mất khỏi danh sách,High,,,,,
TC-T07-002,Hệ thống phân phối đơn cho Tasker khác,1. Tasker A nhấn “Bỏ qua”,Hệ thống chuyển đơn sang Tasker khác phù hợp,High,,,,,
TC-T07-003,Hiển thị thông báo bỏ qua thành công,1. Nhấn “Bỏ qua”,Hiển thị message thành công,Medium,,,,,
TC-T07-004,Refresh app sau khi bỏ qua,1. Reload app,Đơn không còn hiển thị,Medium,,,,,
TC-T07-005,Double click nút “Bỏ qua”,1. Double click “Bỏ qua”,Không gửi duplicate request,Medium,,,,,
TC-T07-006,Spam click nút “Bỏ qua” liên tục,1. Click liên tục nhiều lần,Chỉ xử lý 1 request,Medium,,,,,
TC-T07-007,Mất mạng khi bỏ qua đơn,"1. Tắt mạng 
2. Nhấn “Bỏ qua”
",Hiển thị lỗi kết nối,Medium,,,,,
TC-T07-008,Server timeout khi bỏ qua đơn,1. Nhấn “Bỏ qua” khi server chậm,Hiển thị loading/error phù hợp,Medium,,,,,
TC-T07-009,Đơn đã bị Tasker khác nhận trước khi bỏ qua,"1. Tasker khác nhận đơn 
2. Nhấn “Bỏ qua”",Đơn tự biến mất hoặc update trạng thái,Medium,,,,,
TC-T07-010,Đơn hết hạn trước khi bỏ qua,"1. Chờ đơn hết hạn
2. Nhấn “Bỏ qua”",Đơn không còn khả dụng,Medium,,,,,
TC-T07-011,Bỏ qua nhiều đơn liên tiếp,1. Bỏ qua nhiều đơn,Hệ thống xử lý đúng từng đơn,Medium,,,,,
TC-T07-012,Bỏ qua nhiều lần làm giảm ưu tiên phân phối,1. Liên tục bỏ qua đơn,Tỷ lệ phân phối đơn giảm theo rule,Medium,,,,,
TC-T07-013,Không hiển thị lại đơn vừa bỏ qua,"1. Refresh app 
2. Chờ realtime sync",Đơn không xuất hiện lại,Medium,,,,,
TC-T07-014,App crash sau khi bỏ qua đơn,"1. Force close app 
2. Mở lại app",Đơn vẫn không hiển thị,Medium,,,,,
TC-T07-015,App background khi bỏ qua đơn,"1. Đưa app background 
2. Nhấn action từ notification",Xử lý bỏ qua thành công,Medium,,,,,
TC-T07-016,Session hết hạn khi bỏ qua đơn,1. Nhấn “Bỏ qua”,Redirect login hoặc báo session expired,Medium,,,,,
TC-T07-017,Toggle Offline sau khi bỏ qua đơn,"1. Nhấn “Bỏ qua” 
2. Chuyển Offline",Không nhận thêm đơn mới,Medium,,,,,
TC-T07-018,Hiển thị loading khi đang bỏ qua đơn,1. Nhấn “Bỏ qua”,Hiển thị trạng thái loading,Low,,,,,
TC-T07-019,Đồng bộ realtime trạng thái đơn sau khi bỏ qua,"1. Bỏ qua trên device A
2. Kiểm tra device B",Dữ liệu sync đúng,Medium,,,,,
TC-T07-020,Không ảnh hưởng đơn khác khi bỏ qua,1. Bỏ qua 1 đơn,Các đơn còn lại vẫn hiển thị bình thường,Medium,,,,,
UC_08 Xem đơn đang thực hiện,,,,,,,,,
TC-T08-001,Hiển thị đơn đang thực hiện sau khi nhận đơn,"1. Mở M16 
2. Xem mục “Đang thực hiện”",Đơn hiển thị đúng trong danh sách,High,,,,,
TC-T08-002,Hiển thị đúng tên dịch vụ,1. Quan sát thông tin đơn,Hiển thị đúng tên dịch vụ,High,,,,,
TC-T08-003,Hiển thị đúng tên khách hàng,1. Quan sát thông tin khách hàng,Hiển thị đúng tên khách hàng,High,,,,,
TC-T08-004,Hiển thị đúng địa chỉ khách hàng,1. Quan sát địa chỉ,Hiển thị đúng địa chỉ (vd: S2.06/08B12),High,,,,,
TC-T08-005,Hiển thị đúng giờ bắt đầu,1. Quan sát thời gian bắt đầu,Hiển thị đúng giờ bắt đầu,Medium,,,,,
TC-T08-006,Bộ đếm thời gian chạy realtime,1. Quan sát timer trong vài phút,Timer tăng realtime liên tục,High,,,,,
TC-T08-007,Timer tiếp tục chạy sau khi reload app,1. Reload app,Timer sync đúng với server,High,,,,,
TC-T08-008,Timer không reset sau khi reload,1. Reload nhiều lần,Timer vẫn đúng thời gian thực tế,Medium,,,,,
TC-T08-009,Hiển thị đúng trạng thái “Đang thực hiện”,1. Quan sát trạng thái đơn,Status hiển thị đúng,Medium,,,,,
TC-T08-010,Không hiển thị đơn đã hoàn thành trong mục Đang thực hiện,"1. Complete đơn 
2. Kiểm tra mục Đang thực hiện",Đơn biến mất khỏi danh sách,High,,,,,
TC-T08-011,Không hiển thị đơn đã hủy,"1. Cancel đơn 
2. Kiểm tra mục Đang thực hiện",Đơn không còn hiển thị,Medium,,,,,
TC-T08-012,Nhấn nút Chat từ đơn đang thực hiện,1. Nhấn “Chat”,Điều hướng tới M10,High,,,,,
TC-T08-013,Hiển thị đúng cửa sổ chat tương ứng đơn,1. Nhấn Chat của từng đơn,Mở đúng chat của đơn đó,Medium,,,,,
TC-T08-014,Refresh app khi có đơn đang thực hiện,1. Reload app,Dữ liệu đơn vẫn đúng,Medium,,,,,
TC-T08-015,App crash khi đang thực hiện đơn,"1. Force close app 
2. Mở lại app",Đơn vẫn hiển thị đúng,Medium,,,,,
TC-T08-016,App background khi đang thực hiện đơn,"1. Đưa app background
2. Mở lại",Timer và dữ liệu vẫn sync đúng,Medium,,,,,
TC-T08-017,Mất mạng khi xem đơn đang thực hiện,1. Tắt mạng,Hiển thị lỗi kết nối hoặc cached data,Medium,,,,,
TC-T08-018,Server timeout khi load dữ liệu đơn,1. Load màn hình khi server chậm,Hiển thị loading/error phù hợp,Medium,,,,,
TC-T08-019,Có nhiều đơn đang thực hiện,1. Nhận nhiều đơn,Hiển thị đầy đủ danh sách đơn,Medium,,,,,
TC-T08-020,Scroll danh sách đơn đang thực hiện,1. Scroll danh sách,Load dữ liệu đúng,Low,,,,,
TC-T08-021,Session hết hạn khi đang xem đơn,1. Mở màn hình Đang thực hiện,Redirect login hoặc báo session expired,Medium,,,,,
TC-T08-022,Đồng bộ trạng thái realtime giữa nhiều device,1. Kiểm tra trên device A và B,Dữ liệu sync đúng realtime,Medium,,,,,
TC-T08-023,Không có đơn đang thực hiện,1. Mở mục Đang thực hiện,Hiển thị empty state,Medium,,,,,
TC-T08-024,UI hiển thị đúng định dạng thời gian,1. Quan sát timer,Format HH:mm:ss đúng,Low,,,,,
TC-T08-025,Hiển thị loading khi tải dữ liệu đơn,1. Mở màn hình,Hiển thị loading trước khi load xong,Low,,,,,
UC-09 Hoàn thành đơn ,,,,,,,,,
TC-T09-001,Hoàn thành đơn thành công,"1. Mở đơn đang thực hiện 
2. Nhấn “Hoàn thành đơn”",Đơn chuyển sang trạng thái “Hoàn thành”,High,,,,,
TC-T09-002,Hiển thị thông báo hoàn thành thành công,1. Nhấn “Hoàn thành đơn”,Hiển thị message thành công,Medium,,,,,
TC-T09-003,Đơn biến mất khỏi mục “Đang thực hiện”,1. Kiểm tra mục Đang thực hiện,Đơn không còn hiển thị,High,,,,,
TC-T09-004,Đơn xuất hiện trong lịch sử đơn,1. Mở tab Lịch sử,Đơn hiển thị trong lịch sử,High,,,,,
TC-T09-005,Thu nhập được cộng vào tài khoản Tasker,"1. Complete đơn 
2. Kiểm tra số dư",Thu nhập được cộng chính xác,High,,,,,
TC-T09-006,Hiển thị đúng số tiền thu nhập,1. Kiểm tra thống kê thu nhập,Số tiền hiển thị đúng,High,,,,,
TC-T09-007,Khách hàng nhận notification đánh giá,1. Tasker complete đơn,Customer nhận thông báo đánh giá,High,,,,,
TC-T09-008,Double click nút “Hoàn thành đơn”,1. Double click nút hoàn thành,Không tạo duplicate request,Medium,,,,,
TC-T09-009,Spam click nút hoàn thành liên tục,1. Click liên tục nhiều lần,Chỉ xử lý 1 lần complete,Medium,,,,,
TC-T09-010,Mất mạng khi hoàn thành đơn,"1. Tắt mạng 
2. Nhấn hoàn thành",Hiển thị lỗi kết nối,Medium,,,,,
TC-T09-011,Server timeout khi hoàn thành đơn,1. Nhấn complete khi server chậm,Hiển thị loading/error phù hợp,Medium,,,,,
TC-T09-012,Khách hàng chưa xác nhận hoàn thành,1. Tasker nhấn complete,Hệ thống chờ customer xác nhận,High,,,,,
TC-T09-013,Customer xác nhận hoàn thành,1. Customer xác nhận,Đơn chuyển Completed,High,,,,,
TC-T09-014,Customer từ chối hoàn thành,1. Customer từ chối,Đơn không chuyển completed,High,,,,,
TC-T09-015,Refresh app sau khi complete đơn,1. Reload app,Trạng thái đơn vẫn chính xác,Medium,,,,,
TC-T09-016,App crash sau khi complete đơn,"1. Force close app 
2. Mở lại",Dữ liệu vẫn sync đúng,Medium,,,,,
TC-T09-017,Đồng bộ trạng thái đơn realtime,"1. Complete trên device A 
2. Kiểm tra device B",Status sync realtime,Medium,,,,,
TC-T09-018,Không cho complete đơn đã completed,1. Nhấn lại nút complete,Không cho phép thao tác,Medium,,,,,
TC-T09-019,Không cho complete đơn đã hủy,1. Nhấn complete,Không cho phép thao tác,Medium,,,,,
TC-T09-020,Timer dừng sau khi complete,1. Complete đơn,Timer dừng hoạt động,Medium,,,,,
TC-T09-021,Session hết hạn khi complete đơn,1. Nhấn complete,Redirect login hoặc báo session expired,Medium,,,,,
TC-T09-022,Hiển thị loading khi hoàn thành đơn,1. Nhấn complete,Hiển thị loading,Low,,,,,
TC-T09-023,Không duplicate dữ liệu lịch sử đơn,1. Reload nhiều lần,Chỉ có 1 record lịch sử,Medium,,,,,
TC-T09-024,Cập nhật đúng số đơn hoàn thành trong thống kê,"1. Complete đơn 
2. Kiểm tra stats",Tổng số đơn completed tăng đúng,Medium,,,,,
TC-T09-025,App background khi hoàn thành đơn,1. Complete từ background/notification,Trạng thái cập nhật đúng,Low,,,,,
UC_10 Lịch sử đơn,,,,,,,,,
TC-T10-001,Xem danh sách lịch sử đơn hoàn thành,"1. Mở app 
2. Nhấn tab “Lịch sử”",Hiển thị danh sách đơn completed,High,,,,,
TC-T10-002,Hiển thị đúng thông tin đơn trong lịch sử,1. Mở tab Lịch sử,"Hiển thị đúng tên dịch vụ, khách hàng, thời gian",High,,,,,
TC-T10-003,Hiển thị đúng trạng thái đơn,1. Quan sát trạng thái đơn,Status hiển thị “Hoàn thành”,Medium,,,,,
TC-T10-004,Hiển thị đúng thu nhập từng đơn,1. Kiểm tra thu nhập,Số tiền hiển thị đúng,High,,,,,
TC-T10-005,Xem chi tiết đơn từ lịch sử,1. Nhấn vào 1 đơn trong lịch sử,Mở đúng chi tiết đơn,High,,,,,
TC-T10-006,Không có đơn hoàn thành,1. Mở tab Lịch sử,Hiển thị empty state,Medium,,,,,
TC-T10-007,Refresh danh sách lịch sử,1. Reload app hoặc pull refresh,Danh sách cập nhật đúng,Medium,,,,,
TC-T10-008,Scroll danh sách lịch sử,1. Scroll danh sách,Load dữ liệu đúng,Low,,,,,
TC-T10-009,Pagination/load more lịch sử,1. Scroll cuối danh sách,Load thêm dữ liệu thành công,Medium,,,,,
TC-T10-010,Hiển thị đúng thứ tự lịch sử,1. Quan sát thứ tự đơn,Hiển thị theo thời gian mới nhất,Medium,,,,,
TC-T10-011,Đơn mới completed tự động cập nhật vào lịch sử,"1. Complete đơn 
2. Mở tab lịch sử",Đơn mới xuất hiện,High,,,,,
TC-T10-012,Không hiển thị đơn canceled trong lịch sử completed,1. Mở tab lịch sử,Không hiển thị đơn canceled,Medium,,,,,
TC-T10-013,Không duplicate dữ liệu lịch sử,1. Refresh nhiều lần,Không có record trùng,Medium,,,,,
TC-T10-014,Mất mạng khi load lịch sử,"1. Tắt mạng 
2. Mở tab lịch sử",Hiển thị lỗi kết nối,Medium,,,,,
TC-T10-015,Server timeout khi load lịch sử,1. Mở tab lịch sử khi server chậm,Hiển thị loading/error phù hợp,Medium,,,,,
TC-T10-016,App crash khi đang xem lịch sử,"1. Force close app 
2. Mở lại",Dữ liệu lịch sử vẫn đúng,Low,,,,,
TC-T10-017,App background khi xem lịch sử,"1. Đưa app background 
2. Mở lại",Dữ liệu không bị mất,Low,,,,,
TC-T10-018,Session hết hạn khi xem lịch sử,1. Mở tab lịch sử,Redirect login hoặc báo session expired,Medium,,,,,
TC-T10-019,Đồng bộ lịch sử giữa nhiều device,"1. Complete đơn trên device A 
2. Kiểm tra device B",Lịch sử sync realtime,Medium,,,,,
TC-T10-020,Hiển thị loading khi tải lịch sử,1. Mở tab lịch sử,Hiển thị loading trước khi load xong,Low,,,,,
TC-T10-021,Hiển thị đúng format thời gian,1. Quan sát thời gian đơn,Format ngày giờ đúng,Low,,,,,
TC-T10-022,Hiển thị đúng địa chỉ đơn,1. Kiểm tra chi tiết đơn,Địa chỉ hiển thị đúng,Medium,,,,,
TC-T10-023,Tìm kiếm đơn trong lịch sử (nếu có),1. Nhập keyword tìm kiếm,Trả về kết quả đúng,Medium,,,,,
TC-T10-024,Filter lịch sử theo thời gian (nếu có),1. Chọn filter thời gian,Hiển thị đúng dữ liệu filter,Medium,,,,,
TC-T10-025,Hiển thị đúng tổng số đơn lịch sử,1. Kiểm tra tổng số đơn,Tổng số khớp dữ liệu thực tế,Low,,,,,
UC_11 Chat với khách hàng,,,,,,,,,
TC-T11-001,Mở cửa sổ chat thành công,"1. Mở app 
2. Nhấn Chat từ đơn",Điều hướng tới M10 thành công,High,,,,,
TC-T11-002,Hiển thị lịch sử tin nhắn,1. Mở cửa sổ chat,Hiển thị đầy đủ lịch sử chat,High,,,,,
TC-T11-003,Gửi tin nhắn văn bản thành công,"1. Nhập nội dung 
2. Nhấn gửi",Tin nhắn gửi thành công,High,,,,,
TC-T11-004,Nhận phản hồi từ khách hàng realtime,1. Customer gửi tin nhắn,Tasker nhận tin nhắn realtime,High,,,,,
TC-T11-005,Hiển thị đúng thời gian tin nhắn,1. Quan sát timestamp,Hiển thị đúng thời gian gửi,Low,,,,,
TC-T11-006,Hiển thị đúng người gửi/người nhận,1. Quan sát giao diện chat,Phân biệt đúng sender/receiver,Medium,,,,,
TC-T11-007,Không cho gửi tin nhắn rỗng,"1. Không nhập nội dung 
2. Nhấn gửi",Không gửi message rỗng,Medium,,,,,
TC-T11-008,Gửi tin nhắn dài,1. Nhập text dài,Tin nhắn gửi thành công đúng format,Medium,,,,,
TC-T11-009,Gửi ký tự đặc biệt/emoji,1. Nhập emoji/ký tự đặc biệt,Hiển thị đúng nội dung,Low,,,,,
TC-T11-010,Đính kèm ảnh thành công,"1. Nhấn icon ảnh 
2. Chọn ảnh
3. Gửi",Ảnh gửi thành công,High,,,,,
TC-T11-011,Preview ảnh trước khi gửi,1. Chọn ảnh,Hiển thị preview ảnh,Low,,,,,
TC-T11-012,Upload file ảnh không hợp lệ,1. Upload file không hỗ trợ,Hiển thị lỗi validate,Medium,,,,,
TC-T11-013,Upload ảnh dung lượng lớn,1. Upload ảnh vượt limit,Hiển thị lỗi giới hạn dung lượng,Medium,,,,,
TC-T11-014,Mất mạng khi gửi tin nhắn,"1. Tắt mạng 
2. Gửi tin nhắn",Hiển thị lỗi gửi thất bại,High,,,,,
TC-T11-015,Server timeout khi gửi tin nhắn,1. Gửi message,Hiển thị loading/error phù hợp,Medium,,,,,
TC-T11-016,Retry gửi lại tin nhắn thất bại,1. Nhấn gửi lại,Tin nhắn resend thành công,Medium,,,,,
TC-T11-017,Double click nút gửi,1. Double click send,Không duplicate tin nhắn,Medium,,,,,
TC-T11-018,Spam gửi nhiều tin nhắn liên tục,1. Gửi nhiều message nhanh,Hệ thống xử lý đúng thứ tự,Medium,,,,,
TC-T11-019,Notification khi có tin nhắn mới,1. Customer gửi message,Nhận push notification,High,,,,,
TC-T11-020,Click notification mở đúng chat,1. Nhấn notification,Mở đúng cửa sổ chat,Medium,,,,,
TC-T11-021,App background khi chat,"1. Đưa app background 
2. Mở lại",Không mất dữ liệu chat,Low,,,,,
TC-T11-022,Refresh app khi chat,1. Reload app,Chat history vẫn đúng,Low,,,,,
TC-T11-023,Session hết hạn khi gửi tin nhắn,1. Gửi tin nhắn,Redirect login hoặc báo lỗi session,Medium,,,,,
TC-T11-024,Nhấn icon điện thoại để gọi khách hàng,1. Nhấn icon call,Mở chức năng gọi điện,Medium,,,,,
TC-T11-025,Đồng bộ chat realtime giữa nhiều device,"1. Gửi message trên device A
 2. Kiểm tra device B",Tin nhắn sync realtime,Medium,,,,,
UC_12 Thu nhập & thống kê,,,,,,,,,
TC-T12-001,Mở màn hình Thu nhập thành công,"1. Mở app 
2. Nhấn tab “Thu nhập”",Điều hướng tới M17 thành công,High,,,,,
TC-T12-002,Hiển thị đúng tổng thu nhập,1. Mở màn hình thống kê,Tổng thu hiển thị đúng,High,,,,,
TC-T12-003,Hiển thị đúng % so sánh tuần trước,1. Kiểm tra % thống kê,% hiển thị đúng theo dữ liệu,Medium,,,,,
TC-T12-004,Hiển thị đúng biểu đồ thu nhập,1. Quan sát biểu đồ,Biểu đồ hiển thị đúng dữ liệu,Medium,,,,,
TC-T12-005,Hiển thị đúng dữ liệu theo ngày trong tuần,1. Kiểm tra từng cột biểu đồ,Giá trị từng ngày đúng,Medium,,,,,
TC-T12-006,Hiển thị đúng số đơn hoàn thành,1. Kiểm tra card “Số đơn”,Tổng số đơn đúng,High,,,,,
TC-T12-007,Hiển thị đúng đánh giá trung bình,1. Kiểm tra card “Đánh giá TB”,Rating hiển thị đúng,Medium,,,,,
TC-T12-008,Hiển thị đúng tỷ lệ nhận đơn,1. Kiểm tra tỷ lệ nhận,Tỷ lệ hiển thị chính xác,Medium,,,,,
TC-T12-009,Hiển thị đúng phí Chị Ơi 15%,1. Kiểm tra phí hệ thống,Tính đúng 15%,High,,,,,
TC-T12-010,Filter “Hôm nay” hoạt động đúng,1. Chọn filter “Hôm nay”,Hiển thị đúng dữ liệu hôm nay,Medium,,,,,
TC-T12-011,Filter “Tuần này” hoạt động đúng,1. Chọn “Tuần này”,Hiển thị đúng dữ liệu tuần,Medium,,,,,
TC-T12-012,Filter “Tháng” hoạt động đúng,1. Chọn “Tháng”,Hiển thị đúng dữ liệu tháng,Medium,,,,,
TC-T12-013,Chuyển đổi filter liên tục,1. Đổi nhiều filter liên tục,Dữ liệu update đúng,Medium,,,,,
TC-T12-014,Không có thu nhập,1. Mở màn hình thống kê,Tất cả chỉ số hiển thị 0,Medium,,,,,
TC-T12-015,Hiển thị empty state khi chưa có dữ liệu,1. Mở M17,Hiển thị trạng thái empty phù hợp,Low,,,,,
TC-T12-016,Refresh màn hình thống kê,1. Pull refresh/reload app,Dữ liệu cập nhật đúng,Medium,,,,,
TC-T12-017,Mất mạng khi load thống kê,"1. Tắt mạng 
2. Mở M17",Hiển thị lỗi kết nối,Medium,,,,,
TC-T12-018,Server timeout khi load thống kê,1. Mở màn hình,Hiển thị loading/error phù hợp,Medium,,,,,
TC-T12-019,Session hết hạn khi xem thống kê,1. Mở tab Thu nhập,Redirect login hoặc báo session expired,Medium,,,,,
TC-T12-020,Đồng bộ dữ liệu thống kê realtime,"1. Complete đơn trên device A 
2. Kiểm tra stats device B",Dữ liệu sync đúng,Medium,,,,,
TC-T12-021,Hiển thị đúng format tiền tệ,1. Quan sát số tiền,Format currency đúng,Low,,,,,
TC-T12-022,Hiển thị loading khi tải dữ liệu,1. Mở màn hình,Hiển thị loading trước khi load xong,Low,,,,,
TC-T12-023,Scroll màn hình thống kê,1. Scroll xuống cuối màn hình,UI hiển thị đúng,Low,,,,,
TC-T12-024,Nút “Yêu cầu rút tiền” hiển thị đúng,1. Mở cuối màn hình,Hiển thị button đúng,Medium,,,,,
TC-T12-025,Nút “Yêu cầu rút tiền” disabled khi số dư = 0,1. Mở M17,Button bị disable,Medium,,,,,
UC_13 Yêu cầu rút tiền,,,,,,,,,
TC-T13-001,Gửi yêu cầu rút tiền thành công,"1. Mở M17 
2. Nhấn “Yêu cầu rút tiền” 
3. Nhập số tiền 
4. Chọn tài khoản ngân hàng
5. Xác nhận",Yêu cầu rút tiền được tạo thành công,High,,,,,
TC-T13-002,Hiển thị thông báo gửi yêu cầu thành công,1. Hoàn tất request rút tiền,Hiển thị message thành công,Medium,,,,,
TC-T13-003,Button “Yêu cầu rút tiền” bị disable khi số dư = 0,1. Mở M17,Button bị disable,High,,,,,
TC-T13-004,Không cho nhập số tiền lớn hơn số dư,1. Nhập số tiền > balance,Hiển thị lỗi validate,High,,,,,
TC-T13-005,Không cho nhập số tiền bằng 0,1. Nhập số tiền = 0,Hiển thị lỗi validate,Medium,,,,,
TC-T13-006,Không cho nhập số tiền âm,1. Nhập số âm,Hiển thị lỗi validate,Medium,,,,,
TC-T13-007,Không cho để trống số tiền,"1. Để trống field số tiền 
2. Submit",Hiển thị required validate,Medium,,,,,
TC-T13-008,Hiển thị đúng danh sách tài khoản ngân hàng,1. Mở dropdown ngân hàng,Hiển thị đúng danh sách bank,Medium,,,,,
TC-T13-009,Chọn tài khoản ngân hàng thành công,1. Chọn bank,Bank được selected đúng,Medium,,,,,
TC-T13-010,Không cho submit khi chưa chọn ngân hàng,"1. Không chọn bank 
2. Submit",Hiển thị validate,Medium,,,,,
TC-T13-011,Double click nút xác nhận rút tiền,1. Double click submit,Không tạo duplicate request,Medium,,,,,
TC-T13-012,Spam click submit nhiều lần,1. Click liên tục nhiều lần,Chỉ tạo 1 request,Medium,,,,,
TC-T13-013,Mất mạng khi gửi yêu cầu rút tiền,"1. Tắt mạng 
2. Submit request",Hiển thị lỗi kết nối,Medium,,,,,
TC-T13-014,Server timeout khi gửi yêu cầu,1. Submit khi server chậm,Hiển thị loading/error phù hợp,Medium,,,,,
TC-T13-015,Refresh app sau khi gửi request,1. Reload app,Request vẫn tồn tại đúng trạng thái,Medium,,,,,
TC-T13-016,Đồng bộ số dư sau khi tạo request,1. Submit request,Balance được update đúng theo business,High,,,,,
TC-T13-017,Admin nhận được yêu cầu rút tiền,1. Tasker submit request,Request hiển thị ở Admin,High,,,,,
TC-T13-018,Hiển thị trạng thái request “Chờ xử lý”,1. Kiểm tra request,Status hiển thị đúng,Medium,,,,,
TC-T13-019,Session hết hạn khi submit request,1. Nhấn submit,Redirect login hoặc báo session expired,Medium,,,,,
TC-T13-020,Không cho rút khi chưa liên kết ngân hàng,1. Mở form rút tiền,Hiển thị yêu cầu liên kết ngân hàng,High,,,,,
TC-T13-021,Hiển thị loading khi gửi request,1. Submit request,Hiển thị loading,Low,,,,,
TC-T13-022,App crash sau khi gửi request,"1. Force close app 
2. Mở lại",Dữ liệu request vẫn đúng,Medium,,,,,
TC-T13-023,App background khi gửi request,"1. Submit request 
2. Đưa app background",Request vẫn xử lý đúng,Low,,,,,
TC-T13-024,Hiển thị đúng format tiền tệ,1. Quan sát số tiền,Format currency đúng,Low,,,,,
TC-T13-025,Không cho nhập ký tự chữ vào số tiền,1. Nhập text vào field amount,Chỉ cho nhập số,Medium,,,,,
UC_14 Thông tin cá nhân Tasker,,,,,,,,,
TC-T14-001,Mở tab Cá nhân thành công,"1. Mở app 
2. Nhấn tab “Cá nhân”",Điều hướng đúng màn hình hồ sơ,High,,,,,
TC-T14-002,Hiển thị đúng họ tên Tasker,1. Mở tab Cá nhân,Hiển thị đúng họ tên,High,,,,,
TC-T14-003,Hiển thị đúng số điện thoại,1. Kiểm tra thông tin SĐT,SĐT hiển thị đúng,High,,,,,
TC-T14-004,Hiển thị đúng dịch vụ cung cấp,1. Kiểm tra danh sách dịch vụ,Hiển thị đúng dịch vụ đã đăng ký,High,,,,,
TC-T14-005,Hiển thị đúng rating sao,1. Kiểm tra rating,Hiển thị đúng số sao trung bình,Medium,,,,,
TC-T14-006,Hiển thị đúng số việc đã hoàn thành,1. Kiểm tra thống kê công việc,Hiển thị đúng tổng số việc,Medium,,,,,
